"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Karl-Anthony Towns",8100,"MIN@LAC 12/06/2017 10:30PM ET",40.79,"MIN"
"PF/C","LaMarcus Aldridge",8100,"MIA@SA 12/06/2017 08:30PM ET",40.174,"SA"
"PF/C","Blake Griffin",8000,"MIN@LAC 12/06/2017 10:30PM ET",43.763,"LAC"
"SF/PF","Kawhi Leonard",7700,"MIA@SA 12/06/2017 08:30PM ET",0,"SA"
"SG","Jimmy Butler",7600,"MIN@LAC 12/06/2017 10:30PM ET",36.707,"MIN"
"C","Hassan Whiteside",7500,"MIA@SA 12/06/2017 08:30PM ET",36.95,"MIA"
"PG/SG","Lou Williams",7100,"MIN@LAC 12/06/2017 10:30PM ET",30.841,"LAC"
"C","DeAndre Jordan",6900,"MIN@LAC 12/06/2017 10:30PM ET",32.216,"LAC"
"SF/PF","Andrew Wiggins",6700,"MIN@LAC 12/06/2017 10:30PM ET",30.16,"MIN"
"PG","Jeff Teague",6600,"MIN@LAC 12/06/2017 10:30PM ET",32.095,"MIN"
"PF/C","Taj Gibson",6200,"MIN@LAC 12/06/2017 10:30PM ET",26.36,"MIN"
"PG","Goran Dragic",6200,"MIA@SA 12/06/2017 08:30PM ET",30.696,"MIA"
"PG/SG","Austin Rivers",6100,"MIN@LAC 12/06/2017 10:30PM ET",25.727,"LAC"
"PF/C","Pau Gasol",5700,"MIA@SA 12/06/2017 08:30PM ET",28.958,"SA"
"SG/SF","Dion Waiters",5600,"MIA@SA 12/06/2017 08:30PM ET",25.5,"MIA"
"SF/PF","Danilo Gallinari",5500,"MIN@LAC 12/06/2017 10:30PM ET",24.806,"LAC"
"SF/PF","James Johnson",5500,"MIA@SA 12/06/2017 08:30PM ET",26.409,"MIA"
"SF/PF","Rudy Gay",5200,"MIA@SA 12/06/2017 08:30PM ET",23.864,"SA"
"PG/SF","Kyle Anderson",5200,"MIA@SA 12/06/2017 08:30PM ET",24.489,"SA"
"PF/C","Kelly Olynyk",4700,"MIA@SA 12/06/2017 08:30PM ET",20.587,"MIA"
"SG/SF","Danny Green",4600,"MIA@SA 12/06/2017 08:30PM ET",22.228,"SA"
"SG/SF","Josh Richardson",4500,"MIA@SA 12/06/2017 08:30PM ET",19.761,"MIA"
"SG/SF","Wesley Johnson",4300,"MIN@LAC 12/06/2017 10:30PM ET",17.864,"LAC"
"PG","Patty Mills",4100,"MIA@SA 12/06/2017 08:30PM ET",19.458,"SA"
"PF/C","Bam Adebayo",4000,"MIA@SA 12/06/2017 08:30PM ET",12.607,"MIA"
"PG/SG","Tyler Johnson",3900,"MIA@SA 12/06/2017 08:30PM ET",19.477,"MIA"
"SF/PF","Justise Winslow",3900,"MIA@SA 12/06/2017 08:30PM ET",18.337,"MIA"
"PF/C","Gorgui Dieng",3800,"MIN@LAC 12/06/2017 10:30PM ET",15.682,"MIN"
"PG/SG","Milos Teodosic",3800,"MIN@LAC 12/06/2017 10:30PM ET",13.125,"LAC"
"PF/C","Montrezl Harrell",3800,"MIN@LAC 12/06/2017 10:30PM ET",11.109,"LAC"
"PG/SG","Tyus Jones",3700,"MIN@LAC 12/06/2017 10:30PM ET",13.05,"MIN"
"SG/SF","Manu Ginobili",3700,"MIA@SA 12/06/2017 08:30PM ET",15.888,"SA"
"PG","Tony Parker",3700,"MIA@SA 12/06/2017 08:30PM ET",15.188,"SA"
"SG/SF","Wayne Ellington",3700,"MIA@SA 12/06/2017 08:30PM ET",14.674,"MIA"
"SG","Jamal Crawford",3500,"MIN@LAC 12/06/2017 10:30PM ET",14.64,"MIN"
"SF/PF","Nemanja Bjelica",3500,"MIN@LAC 12/06/2017 10:30PM ET",13.514,"MIN"
"SG/SF","Shabazz Muhammad",3500,"MIN@LAC 12/06/2017 10:30PM ET",7.25,"MIN"
"PG/SG","Bryn Forbes",3500,"MIA@SA 12/06/2017 08:30PM ET",10.196,"SA"
"PG","Dejounte Murray",3500,"MIA@SA 12/06/2017 08:30PM ET",18.01,"SA"
"SF/PF","Sam Dekker",3400,"MIN@LAC 12/06/2017 10:30PM ET",7.474,"LAC"
"SG","Brandon Paul",3400,"MIA@SA 12/06/2017 08:30PM ET",8.534,"SA"
"SF/PF","Jamil Wilson",3200,"MIN@LAC 12/06/2017 10:30PM ET",8.688,"LAC"
"SG","Sindarius Thornwell",3200,"MIN@LAC 12/06/2017 10:30PM ET",8.227,"LAC"
"PG/SG","Aaron Brooks",3000,"MIN@LAC 12/06/2017 10:30PM ET",3.958,"MIN"
"PG/SG","Patrick Beverley",3000,"MIN@LAC 12/06/2017 10:30PM ET",25.977,"LAC"
"C","Cole Aldrich",3000,"MIN@LAC 12/06/2017 10:30PM ET",1.15,"MIN"
"SG","C.J. Williams",3000,"MIN@LAC 12/06/2017 10:30PM ET",6.222,"LAC"
"C","Willie Reed",3000,"MIN@LAC 12/06/2017 10:30PM ET",10.345,"LAC"
"SG/SF","Anthony Brown",3000,"MIN@LAC 12/06/2017 10:30PM ET",0,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"MIN@LAC 12/06/2017 10:30PM ET",0.917,"MIN"
"PF/C","Brice Johnson",3000,"MIN@LAC 12/06/2017 10:30PM ET",5.542,"LAC"
"PG","Jawun Evans",3000,"MIN@LAC 12/06/2017 10:30PM ET",8.967,"LAC"
"C","Justin Patton",3000,"MIN@LAC 12/06/2017 10:30PM ET",0,"MIN"
"PF/C","Udonis Haslem",3000,"MIA@SA 12/06/2017 08:30PM ET",1.625,"MIA"
"SG/SF","Rodney McGruder",3000,"MIA@SA 12/06/2017 08:30PM ET",0,"MIA"
"SF/PF","Okaro White",3000,"MIA@SA 12/06/2017 08:30PM ET",8.45,"MIA"
"SF/PF","Davis Bertans",3000,"MIA@SA 12/06/2017 08:30PM ET",7.329,"SA"
"SG/SF","Darrun Hilliard",3000,"MIA@SA 12/06/2017 08:30PM ET",2.167,"SA"
"C","A.J. Hammons",3000,"MIA@SA 12/06/2017 08:30PM ET",0,"MIA"
"SG","Matt Williams",3000,"MIA@SA 12/06/2017 08:30PM ET",0,"MIA"
"PF","Matt Costello",3000,"MIA@SA 12/06/2017 08:30PM ET",12.25,"SA"
"PF/C","Joffrey Lauvergne",3000,"MIA@SA 12/06/2017 08:30PM ET",9.396,"SA"
"PG/SG","Derrick Walton Jr.",3000,"MIA@SA 12/06/2017 08:30PM ET",1.417,"MIA"
"PF/C","Jordan Mickey",3000,"MIA@SA 12/06/2017 08:30PM ET",8.6,"MIA"
"PG/SG","Derrick White",3000,"MIA@SA 12/06/2017 08:30PM ET",7.25,"SA"
