"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Russell Westbrook","PG","OKC","vs UTA","10th",103.5,11000,36.3,75.8,52.6,1.5,33.6,19.3,35,37.47,53.21,53.21,"%",79,4.8,38,77.25,7
"Damian Lillard","PG","POR","vs WAS","12th",104.25,9400,29.2,63.3,44.3,1.23,30.7,19.2,36.1,38.74,43.81,43.81,"%",78,4.7,42,53,5.6
"Kyle Lowry","PG","TOR","vs PHX","28th",119,8700,28.1,73.5,37.7,1.17,21.9,11.8,32.1,34.1,47.6,47.6,"%",66,5.5,35,48.5,5.6
"DeMar DeRozan","SG/SFSGSF","TOR","vs PHX","24th",119,8500,26.4,63.4,37.9,1.12,30.6,17.6,33.8,35,42.28,42.28,"%",72,5,34,46.75,5.5
"Paul George","SF","OKC","vs UTA","7th",103.5,8400,21.6,68,39.8,1.09,26.1,17.5,36.5,37.53,41.47,41.47,"%",67,4.9,39,28.25,3.4
"Devin Booker","SG/SFSGSF","PHX","@ TOR","12th",105,8000,18.9,66,38.1,1.14,29.9,19,33.3,35,39.1,39.1,"%",65,4.9,39,43.25,5.4
"Bradley Beal","SG","WAS","@ POR","2nd",98.25,7600,18.1,58.3,35.5,1.05,28.8,17.3,33.8,35.4,35.33,35.33,"%",68,4.6,43,59.25,7.8
"Rudy Gobert","C","UTA","@ OKC","3rd",95.5,7300,6.7,41.6,34.3,1.06,16.6,8,32.5,22.8,21.64,21.64,"%",71,3,26,16,2.2
"Jusuf Nurkic","C","POR","vs WAS","8th",104.25,7200,12.3,55.9,30.6,1.11,29.3,13.6,27.5,28.69,30.99,30.99,"%",59,4.3,28,34.25,4.8
"Donovan Mitchell","PG/SGPGSG","UTA","@ OKC","10th",95.5,7100,19.7,59.5,28.7,1.01,28.9,14.8,28.3,35,36.75,36.75,"%",60,5.2,36,48.25,6.8
